x,y,z,d
-2.16,-1.5182219,1.46325443,-8.559167
-2.11,-1.5182219,1.46325443,-7.956204
-2.06,-1.5182219,1.46325443,-6.514264
-2.01,-1.5182219,1.46325443,-7.538896
-1.96,-1.5182219,1.46325443,-7.465771
-1.91,-1.5182219,1.46325443,-7.0299973
-1.86,-1.5182219,1.46325443,-5.8899817
-1.81,-1.5182219,1.46325443,-7.178481
-1.76,-1.5182219,1.46325443,-7.4000287
-1.71,-1.5182219,1.46325443,-7.2916083
-1.66,-1.5182219,1.46325443,-6.47662
-1.61,-1.5182219,1.46325443,-7.068714
-1.56,-1.5182219,1.46325443,-7.3400006
-1.51,-1.5182219,1.46325443,-6.5772667
-1.46,-1.5182219,1.46325443,-5.995061
-1.41,-1.5182219,1.46325443,-6.810849
-1.36,-1.5182219,1.46325443,-6.77456
-1.31,-1.5182219,1.46325443,-6.5217586
-1.26,-1.5182219,1.46325443,-6.2040787
-1.21,-1.5182219,1.46325443,-6.86899
-1.16,-1.5182219,1.46325443,-6.4181657
-1.11,-1.5182219,1.46325443,-5.7236013
-1.06,-1.5182219,1.46325443,-5.5889196
-1.01,-1.5182219,1.46325443,-6.522573
-0.96,-1.5182219,1.46325443,-6.240628
-0.91,-1.5182219,1.46325443,-5.7834
-0.86,-1.5182219,1.46325443,-5.7517643
-0.81,-1.5182219,1.46325443,-6.639711
-0.76,-1.5182219,1.46325443,-6.6388335
-0.71,-1.5182219,1.46325443,-6.112536
-0.66,-1.5182219,1.46325443,-5.511122
-0.61,-1.5182219,1.46325443,-6.597892
-0.56,-1.5182219,1.46325443,-6.628181
-0.51,-1.5182219,1.46325443,-5.5526395
-0.46,-1.5182219,1.46325443,-5.711472
-0.41,-1.5182219,1.46325443,-6.3757987
-0.36,-1.5182219,1.46325443,-5.369179
-0.31,-1.5182219,1.46325443,-4.584677
-0.26,-1.5182219,1.46325443,-4.6486683
-0.21,-1.5182219,1.46325443,-5.601847
-0.16,-1.5182219,1.46325443,-4.7482934
-0.11,-1.5182219,1.46325443,-3.9258616
