x,y,z,r,g,b,d
"['-0.72', '-1.3724217', '1.6236719']",[109.53428  115.53478  134.30185   -6.989311]
"['-0.74285716', '-1.3059957', '1.611725']",[ 99.53148   104.752174  122.26009    -5.2701373]
"['-0.7657143', '-1.2395697', '1.599778']",[122.07748  126.72048  143.82869   -5.680802]
"['-0.7885715', '-1.1731434', '1.5878311']",[76.54178  77.72726  85.91201  -4.820196]
"['-0.8114286', '-1.1067173', '1.5758842']",[57.707363  58.888798  65.49705   -4.1602273]
"['-0.83428574', '-1.0402913', '1.5639373']",[66.97118   69.20016   79.91821   -4.5853195]
"['-0.85714287', '-0.9738653', '1.5519904']",[34.899025 37.629776 45.08561  -3.014069]
"['-0.8800001', '-0.90743876', '1.5400434']",[32.009663 34.641266 42.31831  -3.02916 ]
"['-0.9028572', '-0.84101295', '1.5280964']",[34.930134  37.937183  46.190914  -3.5965335]
"['-0.9257144', '-0.7745867', '1.5161495']",[31.446619  30.891039  32.033657  -3.1551347]
"['-0.94857144', '-0.7081609', '1.5042026']",[34.462887 33.656757 36.687874 -3.358934]
"['-0.9714287', '-0.6417346', '1.4922557']",[29.159239  30.309893  31.462532  -3.0454714]
"['-0.9942858', '-0.5753083', '1.4803088']",[30.103773  31.703215  36.316936  -3.1339543]
"['-1.0171429', '-0.5088825', '1.4683619']",[26.893461  26.716528  29.609257  -2.6488671]
"['-1.0400001', '-0.44245625', '1.4564149']",[22.427485  22.295372  23.203363  -2.6350126]
"['-1.0628572', '-0.37603045', '1.444468']",[16.887012  17.749832  19.307653  -2.6115847]
"['-1.0857143', '-0.30960393', '1.4325211']",[31.689844  33.015305  35.78897   -3.2472208]
"['-1.1085714', '-0.24317813', '1.4205742']",[49.28187   52.126873  58.72998   -3.8753264]
"['-1.1314287', '-0.17675185', '1.4086273']",[52.87209   55.77416   61.362675  -3.1512043]
"['-1.1542858', '-0.11032605', '1.3966804']",[38.921135  39.831783  46.34274   -2.8123462]
"['-1.177143', '-0.043899775', '1.3847334']",[82.30905   78.08703   89.15342   -4.3836217]
"['-1.2', '0.022526264', '1.3727865']",[63.387142  58.122982  67.57492   -3.6360402]
"['-1.2228572', '0.08895254', '1.3608396']",[61.48261  51.549164 59.76808  -3.442361]
"['-1.2457143', '0.15537834', '1.3488927']",[72.8592   64.2288   72.77178  -4.119618]
"['-1.2685716', '0.22180486', '1.3369457']",[57.158916 51.56545  58.5317   -3.085176]
"['-1.2914287', '0.2882309', '1.3249987']",[62.83203  54.04903  63.214054 -3.199453]
"['-1.3142858', '0.3546567', '1.3130519']",[56.906246  54.677505  60.393932  -3.5030458]
"['-1.337143', '0.42108297', '1.3011049']",[42.64677   41.275166  44.567837  -2.5168743]
"['-1.3600001', '0.48750925', '1.2891579']",[45.210793  43.709217  45.98395   -2.4456046]
"['-1.3828572', '0.55393505', '1.2772111']",[49.43716  50.817722 54.72599  -2.783558]
"['-1.4057143', '0.62036085', '1.2652643']",[55.199093  56.320423  60.392464  -2.7426054]
"['-1.4285716', '0.6867871', '1.2533172']",[41.858932 41.18756  45.010727 -2.726743]
"['-1.4514285', '0.7532134', '1.2413703']",[41.46509   42.463326  46.315727  -2.1232414]
"['-1.4742858', '0.8196397', '1.2294233']",[65.50646  67.64002  75.580635 -2.778588]
"['-1.4971429', '0.8860655', '1.2174765']",[73.70151   74.56842   81.11068   -3.5234532]
"['-1.52', '0.9524913', '1.2055297']",[80.4291    82.88855   92.87039   -3.6603308]
"['-1.5428572', '1.0189176', '1.1935827']",[111.65224   113.0411    123.17359    -3.5957663]
"['-1.5657144', '1.0853438', '1.1816356']",[ 99.05743    97.235435  105.1076     -3.6936889]
"['-1.5885714', '1.1517696', '1.1696888']",[ 95.20729   95.1841   102.63744   -4.001999]
"['-1.6114285', '1.2181954', '1.1577419']",[162.84265  162.65312  176.25647   -6.550779]
"['-1.6342857', '1.2846217', '1.1457949']",[156.80696  152.84128  163.35802   -6.817509]
"['-1.657143', '1.3510485', '1.133848']",[184.13364   179.8927    195.29247    -7.4137316]
"['-1.6800001', '1.4174743', '1.121901']",[208.63544  201.33955  218.44652   -8.043592]
"['-1.702857', '1.4839001', '1.1099542']",[212.07323  193.80647  205.99184   -8.116686]
"['-1.7257143', '1.5503263', '1.0980072']",[146.85829  134.03557  135.68002   -6.762133]
"['-1.7485715', '1.6167526', '1.0860603']",[165.27933  154.8672   165.14642   -7.903934]
"['-1.7714285', '1.683178', '1.0741135']",[168.92595  154.63936  160.65977   -8.493135]
"['-1.7942858', '1.7496047', '1.0621665']",[151.93881  141.02856  149.79115   -8.565457]
"['-1.8171431', '1.816031', '1.0502195']",[136.94292   129.45927   138.93405    -7.0927987]
"['-1.8400003', '1.8824573', '1.0382725']",[147.33534   135.14684   142.74869    -7.3343987]
"['-1.8628571', '1.948883', '1.0263257']",[138.87328  131.68526  138.99373   -7.403461]
"['-1.8857144', '2.0153093', '1.0143788']",[158.68704   153.39313   163.14275    -7.4081535]
"['-1.9085716', '2.0817356', '1.0024319']",[158.79521   148.32996   157.05252    -7.7522755]
"['-1.9314284', '2.148161', '0.99048495']",[150.42194  143.97765  154.69142   -7.484842]
"['-1.9542857', '2.2145872', '0.97853804']",[147.25201  141.4543   153.39232   -6.847453]
"['-1.9771429', '2.2810135', '0.966591']",[142.33998   137.40532   151.33849    -7.4545193]
"['-2.0000002', '2.3474398', '0.9546441']",[123.78979   119.12524   129.6481     -6.6791596]
"['-2.0228574', '2.413866', '0.94269717']",[132.54091   130.93214   140.94615    -6.9846497]
"['-2.0457144', '2.4802914', '0.93075037']",[134.05243  135.817    153.17688   -7.909142]
"['-2.0685716', '2.5467181', '0.91880333']",[139.55986  146.69604  168.93028   -8.546812]
"['-2.0914288', '2.6131444', '0.9068564']",[124.939766 125.9928   146.04552   -6.407749]
"['-2.1142857', '2.6795697', '0.8949096']",[136.33862  133.6057   149.52522   -6.225602]
"['-2.137143', '2.745996', '0.8829626']",[116.1075    113.12801   123.26829    -6.3021345]
