x,y,z,r,g,b,d
"['0.075600006', '-1.4948219', '1.4116235']",[51.692055  53.234898  62.586815  -3.3843849]
"['0.07800001', '-1.4322815', '1.3929448']",[64.79345   63.61131   73.64968   -3.8994591]
"['0.080400005', '-1.3697412', '1.3742663']",[70.83312   70.85056   78.89049   -3.7019846]
"['0.08280001', '-1.3072007', '1.3555876']",[82.21808  81.536644 96.95786  -3.998596]
"['0.085200004', '-1.2446604', '1.336909']",[ 99.492424   96.05178   108.50449    -4.1570263]
"['0.08760001', '-1.1821201', '1.3182304']",[48.71159  48.967537 55.07379  -3.215021]
"['0.09', '-1.1195796', '1.2995517']",[29.506887  30.439833  34.41986   -2.3734827]
"['0.092400014', '-1.057039', '1.2808731']",[23.167957 23.14929  25.455143 -1.963702]
"['0.0948', '-0.99449897', '1.2621945']",[23.783997  24.75483   28.294167  -2.1875784]
"['0.09720001', '-0.93195844', '1.2435158']",[28.288244  29.862043  34.10984   -2.1759906]
"['0.09960001', '-0.86941814', '1.2248373']",[26.905367  27.16788   28.921537  -1.6329244]
"['0.10200001', '-0.8068776', '1.2061586']",[15.527333  15.373233  14.817864  -1.3791379]
"['0.10440002', '-0.7443373', '1.18748']",[ 6.1700206  5.5977263  4.282642  -1.0355611]
"['0.106800005', '-0.681797', '1.1688014']",[14.28203   13.558915  14.770213  -1.3584514]
"['0.109200016', '-0.6192565', '1.1501228']",[ 8.157201    6.5159664   3.5173469  -0.64907974]
"['0.111600004', '-0.5567162', '1.1314442']",[24.223385  24.866327  26.679947  -1.5750091]
"['0.114000015', '-0.49417567', '1.1127656']",[14.867097  15.065064  14.648244  -0.9668217]
"['0.1164', '-0.43163562', '1.0940869']",[13.505695   12.781657   12.737972   -0.92629004]
"['0.118800014', '-0.3690951', '1.0754082']",[16.969683  17.786804  19.762619  -1.6154785]
"['0.1212', '-0.3065548', '1.0567298']",[16.493755  17.346956  18.714342  -1.5129902]
"['0.12360001', '-0.24401426', '1.038051']",[14.118022  14.51353   15.359863  -1.0363793]
"['0.126', '-0.18147397', '1.0193725']",[11.794492   11.857564   12.931854   -0.83600926]
"['0.12840001', '-0.11893344', '1.0006938']",[12.270701   12.724563   14.317789   -0.42692804]
"['0.13080001', '-0.056393385', '0.98201525']",[19.880053  18.18498   17.45771   -1.2690687]
"['0.13320002', '0.0061473846', '0.96333647']",[22.838173  20.452019  21.338974  -1.6611254]
"['0.13560002', '0.06868768', '0.9446579']",[28.929491  23.468393  24.988987  -1.9950397]
"['0.13800001', '0.13122773', '0.9259794']",[60.06185   50.700066  58.26001   -3.4881694]
"['0.14040002', '0.19376826', '0.9073007']",[48.59306   39.387074  45.226864  -2.9383667]
"['0.14280002', '0.25630903', '0.88862205']",[43.20042   37.25479   41.82418   -2.5062716]
"['0.14520001', '0.3188491', '0.8699435']",[37.27203   34.228176  37.552937  -2.2661378]
"['0.14760001', '0.38138938', '0.85126495']",[14.8516035 14.343949  13.6283    -0.9336995]
"['0.15000002', '0.4439299', '0.8325863']",[11.244253   10.766322   10.99617     0.28697896]
"['0.1524', '0.50646996', '0.8139076']",[18.917505   17.131319   15.012524   -0.59203714]
"['0.15480001', '0.56901073', '0.79522896']",[20.514639  20.17925   20.896633  -1.0269473]
"['0.15720001', '0.6315508', '0.7765504']",[18.269793   15.926571   14.781549   -0.06868763]
"['0.1596', '0.69409084', '0.75787187']",[14.748863   12.626923   11.189348    0.57307583]
"['0.162', '0.7566314', '0.7391932']",[10.606576   9.274348   9.327116   3.5334332]
"['0.16440001', '0.8191719', '0.72051454']",[10.612431    9.478465    9.189428    0.77152973]
"['0.1668', '0.88171244', '0.701836']",[8.646742  7.7137246 7.5019007 1.3770347]
"['0.1692', '0.9442525', '0.68315744']",[12.306664   11.925208   11.295729   -0.37325191]
"['0.17160001', '1.006793', '0.6644788']",[ 5.425051   5.372      4.896386  -0.5782646]
"['0.17400001', '1.0693336', '0.6458']",[16.525753  16.147318  15.594498  -1.1383107]
"['0.1764', '1.1318736', '0.62712145']",[11.904954   11.771897   12.389008   -0.54145277]
"['0.1788', '1.1944137', '0.6084429']",[10.739829  10.759769  11.347525  -0.8985082]
"['0.18120001', '1.2569547', '0.58976424']",[17.526312   17.883495   18.588606   -0.45265758]
"['0.18360002', '1.3194952', '0.5710856']",[12.533329  12.613916  13.902948  -0.5119459]
"['0.18599999', '1.3820348', '0.55240715']",[19.06981   19.95608   22.96405   -1.2526722]
"['0.18840002', '1.4445758', '0.53372836']",[18.158789   19.512169   23.67994    -0.78814757]
"['0.19080003', '1.5071163', '0.5150497']",[16.05655   16.676725  19.261955  -0.7668959]
"['0.19320004', '1.5696568', '0.4963709']",[32.891888  33.139908  35.29816   -1.4636718]
"['0.1956', '1.6321969', '0.4776926']",[28.825453  29.05102   30.851238  -1.1498141]
"['0.19800001', '1.6947374', '0.45901382']",[26.082169  26.75939   29.986557  -1.0676712]
"['0.20040002', '1.757278', '0.44033515']",[30.94384   29.715294  29.854637  -1.4411856]
"['0.2028', '1.8198175', '0.42165673']",[24.681793  24.378965  26.116539  -1.0778899]
"['0.2052', '1.8823581', '0.40297806']",[17.745228  18.148298  20.91773   -0.3876636]
"['0.20760001', '1.9448986', '0.3842994']",[31.947916  33.38033   39.67701   -1.8038217]
"['0.21000002', '2.0074396', '0.36562073']",[50.22327   51.86127   59.409863  -2.6876051]
"['0.21240003', '2.0699801', '0.34694195']",[56.10062   54.885044  63.117462  -2.5149496]
"['0.21480002', '2.1325197', '0.32826364']",[62.91276   61.561962  69.73908   -3.1407504]
"['0.21720001', '2.1950603', '0.30958486']",[43.06019   44.64062   51.285084  -2.4218142]
"['0.21960002', '2.2576008', '0.2909062']",[33.468285  34.971996  39.724445  -1.4258721]
"['0.222', '2.3201404', '0.27222776']",[39.58848   38.35886   38.683563  -2.1000416]
"['0.22440001', '2.3826814', '0.2535491']",[39.795353  37.807632  38.14012   -2.4631927]
"['0.22680002', '2.445222', '0.23487043']",[20.28135  19.116488 19.579876 -1.633728]
