x,y,z,r,g,b,d
"['0.075600006', '-1.4948219', '1.4116235']",[113.43352 118.46626 120.72435 -20.19315]
"['0.0768', '-1.4635518', '1.4022841']",[132.29062  138.95663  144.30905  -23.719666]
"['0.07800001', '-1.4322815', '1.3929448']",[111.59272 117.0843  121.30951 -21.92157]
"['0.080400005', '-1.3697412', '1.3742663']",[109.43658  115.46375  120.412285 -20.424665]
"['0.08280001', '-1.3072007', '1.3555876']",[112.33046  118.36009  123.37939  -19.281483]
"['0.085200004', '-1.2446604', '1.336909']",[104.51091  108.97279  111.579926 -19.021908]
"['0.08760001', '-1.1821201', '1.3182304']",[ 71.915245  74.30915   75.38392  -13.46438 ]
"['0.09', '-1.1195796', '1.2995517']",[ 61.47623   63.532997  64.22006  -14.035426]
"['0.092400014', '-1.057039', '1.2808731']",[ 60.087124  61.10505   60.63031  -12.502788]
"['0.0948', '-0.99449897', '1.2621945']",[38.207825 39.157646 39.517925 -8.296639]
"['0.09720001', '-0.93195844', '1.2435158']",[33.16757   33.85601   33.996258  -6.6489635]
"['0.09960001', '-0.86941814', '1.2248373']",[25.126625 25.745884 25.883068 -6.560329]
"['0.10200001', '-0.8068776', '1.2061586']",[32.711548 31.755596 29.784197 -7.57836 ]
"['0.10440002', '-0.7443373', '1.18748']",[16.45076   16.482883  15.828609  -4.9734006]
"['0.106800005', '-0.681797', '1.1688014']",[ 55.688274  57.181976  58.328014 -12.125888]
"['0.109200016', '-0.6192565', '1.1501228']",[31.972752  31.05714   30.01566   -6.5000224]
"['0.111600004', '-0.5567162', '1.1314442']",[21.027647  20.730543  19.605139  -4.2058825]
"['0.114000015', '-0.49417567', '1.1127656']",[43.03731  44.397438 45.134586 -8.979275]
"['0.1164', '-0.43163562', '1.0940869']",[30.031336 30.606243 30.255539 -8.297132]
"['0.118800014', '-0.3690951', '1.0754082']",[24.029716 25.347866 26.69379  -7.270165]
"['0.1212', '-0.3065548', '1.0567298']",[ 40.43458   42.097107  42.850307 -11.544045]
"['0.12360001', '-0.24401426', '1.038051']",[37.653393 39.344513 40.71915  -9.253385]
"['0.126', '-0.18147397', '1.0193725']",[15.7820015 16.344513  17.128313  -4.8098817]
"['0.12840001', '-0.11893344', '1.0006938']",[15.446456  16.276783  17.951757  -7.2039704]
"['0.13080001', '-0.056393385', '0.98201525']",[28.24584  29.780354 32.01653  -9.444085]
"['0.13320002', '0.0061473846', '0.96333647']",[ 9.285792  9.648458 10.203433 -5.134476]
"['0.13560002', '0.06868768', '0.9446579']",[ 7.2677298  7.246511   7.5833282 -6.2473383]
"['0.13800001', '0.13122773', '0.9259794']",[19.807634 20.475243 21.40872  -8.726665]
