x,y,z,d
0.34,-0.4682219,0.81325443,17.038755
-0.16,0.4317781,0.21325443,17.25949
0.14,-0.5682219,0.71325443,17.419973
0.04,-0.5682219,0.96325443,17.591764
0.19,0.0317781,0.21325443,17.767197
-0.21,-0.9182219,0.66325443,17.801098
0.04,0.4817781,0.16325443,17.816647
-0.16,0.3317781,0.31325443,17.999853
0.09,-0.9182219,0.66325443,18.000458
0.14,0.0317781,0.21325443,18.001976
-0.26,0.7817781,0.21325443,18.02499
-0.21,0.1817781,0.26325443,18.071821
0.19,0.8317781,0.26325443,18.072012
0.14,0.5317781,0.31325443,18.08951
0.19,-0.0182219,0.36325443,18.14237
-0.26,0.5317781,0.11325443,18.20115
0.34,-0.6182219,0.81325443,18.23744
-0.01,-0.3182219,0.11325443,18.240026
-0.06,-0.4182219,0.96325443,18.56153
0.04,-0.4682219,0.81325443,18.566364
-0.01,0.3317781,0.11325443,18.816668
0.29,-0.6682219,0.66325443,18.846975
-0.21,-0.0182219,0.31325443,19.166767
0.14,0.2817781,0.11325443,19.369968
0.04,0.8317781,0.61325443,19.60918
0.29,-0.5682219,0.71325443,19.683098
0.14,0.5317781,0.11325443,19.738611
-0.06,-0.4182219,0.61325443,19.756916
-0.26,0.9317781,0.16325443,19.825155
-0.26,0.2317781,0.21325443,19.8955
-0.06,-0.4182219,0.66325443,19.976437
0.34,-0.6182219,0.76325443,20.060654
0.09,-0.5182219,0.61325443,20.166267
0.04,0.4317781,0.16325443,20.235695
0.19,-0.5682219,0.71325443,20.297161
-0.36,-0.4682219,0.81325443,20.311314
0.09,0.2817781,0.11325443,20.599594
-0.06,0.4317781,0.11325443,20.642618
0.14,-0.3682219,0.61325443,21.000687
0.24,0.5317781,0.11325443,21.140223
0.14,0.8317781,0.11325443,21.150652
-0.16,-0.6682219,0.66325443,21.215311
-0.06,0.4817781,0.11325443,21.35725
0.04,0.2817781,0.11325443,21.418894
0.09,0.2817781,0.16325443,21.433277
-0.06,-0.5682219,0.96325443,21.515396
-0.26,0.2817781,0.16325443,21.579224
-0.01,0.7817781,0.11325443,21.600191
0.04,-0.6682219,0.66325443,21.621449
0.14,0.6317781,0.16325443,21.99144
0.34,-0.6682219,0.81325443,22.100344
-0.01,-0.2182219,0.21325443,22.107138
-0.11,-0.1182219,0.26325443,22.618248
0.34,-0.6182219,0.91325443,22.625492
0.14,0.8817781,0.16325443,22.628815
-0.16,-0.2182219,0.76325443,22.656837
0.09,-0.6682219,0.66325443,22.765936
-0.31,-0.5682219,0.86325443,22.798908
-0.21,-0.7182219,0.61325443,22.859335
-0.21,0.6817781,0.21325443,23.109024
-0.06,0.6817781,0.11325443,23.179525
-0.06,-0.4682219,0.81325443,23.235321
-0.16,2.3817781,0.36325443,23.30869
0.24,0.6317781,0.21325443,23.380234
0.19,0.8817781,0.51325443,23.690964
0.24,0.5317781,0.21325443,23.785706
-0.26,-0.2182219,0.51325443,23.794575
-0.06,-0.5182219,0.66325443,23.834826
-0.36,-0.4682219,0.76325443,23.87768
0.24,-0.1182219,0.16325443,23.940413
-0.01,0.2317781,0.16325443,24.017853
-0.06,-0.2182219,0.21325443,24.200485
-0.06,0.2817781,0.11325443,24.362616
-0.11,-0.5682219,0.71325443,24.377487
0.19,0.5317781,0.66325443,24.419132
0.09,0.5317781,0.11325443,24.48891
-0.01,0.6317781,0.11325443,24.531075
-0.21,-0.4682219,0.76325443,24.545052
-0.26,0.3817781,0.11325443,24.662577
-0.21,0.2317781,0.16325443,24.706465
0.24,0.6317781,0.11325443,24.871418
-0.26,0.2817781,0.21325443,24.993633
-0.31,-0.6682219,0.66325443,25.075777
0.29,-0.7182219,0.66325443,25.087158
-0.31,-0.5682219,0.91325443,25.179903
0.14,-0.6682219,0.66325443,25.263844
-0.11,-0.4182219,0.61325443,25.374004
0.24,0.5817781,0.16325443,25.44669
0.34,-0.6182219,0.86325443,25.557106
0.19,-0.0182219,0.16325443,25.575642
0.34,-0.6682219,0.76325443,25.688145
0.14,0.7317781,0.11325443,25.83028
-0.26,0.2317781,0.16325443,25.837955
-0.26,0.3817781,0.16325443,25.842728
0.29,0.3817781,0.16325443,25.940884
0.14,0.6817781,0.21325443,25.998516
-0.21,-0.2182219,0.56325443,26.530624
-0.21,-0.2182219,0.46325443,26.543842
0.14,-0.4682219,0.66325443,26.803741
-0.21,-0.6682219,0.66325443,26.864384
-0.31,-0.0182219,0.41325443,26.956043
0.19,-0.0182219,0.21325443,26.986149
-0.11,-0.6182219,0.66325443,27.151443
0.24,-0.9182219,0.66325443,27.266731
-0.06,-0.2182219,0.11325443,27.35918
0.09,-0.6182219,0.66325443,27.495161
-0.11,0.0317781,0.16325443,27.538107
0.14,-0.5182219,0.66325443,27.58622
0.04,-0.5682219,0.71325443,27.782688
0.19,0.5317781,0.11325443,27.883598
-0.11,-0.0182219,0.11325443,27.885775
0.24,-0.7182219,0.61325443,28.4259
0.19,-0.3182219,0.41325443,28.441696
-0.16,-0.4682219,0.66325443,28.77087
0.14,0.9317781,0.16325443,29.114868
-0.16,0.3317781,0.11325443,29.190893
0.14,0.5817781,0.11325443,29.242405
-0.16,-0.5682219,0.71325443,29.384424
-0.06,0.3817781,0.11325443,29.55093
0.19,0.6317781,0.11325443,29.56139
-0.16,0.7817781,0.66325443,29.613287
0.09,-0.2682219,0.16325443,29.752687
0.09,-0.5682219,0.71325443,29.970364
-0.11,0.7817781,0.11325443,30.370235
0.19,-0.1182219,0.31325443,30.445051
-0.31,-0.5682219,0.96325443,30.562363
-0.21,0.5317781,0.51325443,30.735722
-0.01,-0.0182219,0.11325443,30.815561
-0.31,-0.2182219,0.66325443,31.150047
0.04,0.5317781,0.16325443,31.292042
0.29,-0.6182219,0.66325443,31.4053
-0.26,-0.2682219,0.41325443,31.515293
0.19,0.4317781,0.56325443,31.51729
-0.06,0.1817781,0.16325443,31.680979
0.19,0.3817781,0.41325443,32.000576
0.14,0.5317781,0.16325443,32.00945
0.14,-0.0682219,0.31325443,32.089462
0.34,-0.7182219,0.71325443,32.118275
-0.01,0.0817781,0.21325443,32.15001
-0.11,-0.2682219,0.26325443,32.229694
-0.26,0.4317781,0.21325443,32.27559
0.39,-0.7182219,0.81325443,32.30156
0.19,-0.4682219,0.66325443,32.45647
-0.16,0.5817781,0.11325443,32.90868
0.34,-0.5682219,0.81325443,32.93283
-0.26,0.6317781,0.11325443,32.938705
-0.31,0.3317781,0.21325443,32.94384
-0.16,0.8817781,0.16325443,32.95933
0.19,0.5817781,0.16325443,33.00483
-0.06,0.4817781,0.16325443,33.014294
0.04,-0.6182219,0.66325443,33.36855
0.04,0.6317781,0.11325443,33.399918
-0.16,0.5317781,0.11325443,33.454422
0.34,-0.5682219,0.91325443,33.458603
-0.16,0.4817781,0.16325443,33.80264
-0.01,-0.0682219,0.16325443,33.926132
-0.16,-0.3682219,0.61325443,33.968815
-0.26,-0.0182219,0.41325443,33.980457
-0.06,0.3317781,0.11325443,34.065327
-0.01,-0.1182219,0.21325443,34.614353
-0.26,0.6817781,0.11325443,34.689037
-0.21,0.3317781,0.21325443,35.144268
-0.16,-0.6182219,0.66325443,35.148888
-0.21,0.2317781,0.21325443,35.175632
0.04,-0.3182219,0.11325443,35.429897
0.14,0.3817781,0.11325443,35.476086
0.19,0.5817781,0.66325443,35.495975
