x,y,z,d
15.461423,3.4355292,1.289156,1309.6111
15.461423,3.4355292,2.689156,1254.2234
15.461423,3.4355292,2.489156,1243.7292
14.861423,3.8355292,2.689156,1211.1552
14.061423,3.4355292,1.289156,1209.1761
15.061423,4.0355292,2.689156,1191.4052
14.861423,3.4355292,1.289156,1167.4622
15.661423,3.4355292,1.289156,1161.7821
15.461423,6.6355292,1.289156,1160.4532
14.861423,3.8355292,2.489156,1152.864
14.061423,8.6355292,-0.110844,1147.5334
14.061423,8.0355292,1.489156,1142.0605
14.061423,2.6355292,1.289156,1134.119
15.061423,3.2355292,2.689156,1131.4935
15.461423,2.0355292,2.489156,1130.1772
15.061423,2.4355292,2.689156,1130.173
15.461423,3.2355292,2.489156,1129.7917
15.461423,3.6355292,2.489156,1129.3241
14.061423,5.6355292,1.289156,1128.3167
14.661423,3.2355292,1.289156,1125.919
15.461423,3.6355292,2.689156,1122.6989
15.061423,3.8355292,2.689156,1121.336
15.461423,2.6355292,1.289156,1115.2141
14.061423,5.8355292,1.289156,1108.5538
14.861423,6.6355292,1.289156,1097.0004
15.461423,1.8355292,1.289156,1095.083
14.861423,5.0355292,1.289156,1094.4226
14.061423,6.6355292,1.289156,1093.2529
14.061423,5.0355292,1.289156,1090.3356
15.661423,2.6355292,1.289156,1087.5923
15.061423,4.0355292,1.289156,1086.3813
14.661423,3.4355292,1.289156,1084.4686
15.461423,2.0355292,1.689156,1081.724
15.461423,3.2355292,2.689156,1080.5526
15.461423,3.8355292,2.689156,1078.997
15.461423,2.0355292,1.289156,1077.8647
14.861423,1.8355292,1.289156,1077.8513
14.661423,3.4355292,2.489156,1076.2524
14.661423,4.0355292,2.689156,1071.8281
14.661423,2.4355292,1.289156,1069.2141
14.061423,8.6355292,1.489156,1063.0243
14.661423,3.4355292,2.689156,1062.9592
15.461423,2.0355292,2.689156,1061.206
14.661423,3.2355292,2.689156,1060.5338
15.461423,3.4355292,1.689156,1058.1394
14.261423,3.4355292,1.289156,1057.2223
14.861423,3.8355292,1.289156,1055.808
14.861423,5.4355292,2.489156,1053.0507
14.061423,4.0355292,1.289156,1051.3834
15.461423,3.4355292,-0.310844,1051.181
14.861423,3.4355292,2.689156,1050.0177
14.661423,3.8355292,2.689156,1048.0387
15.461423,5.0355292,1.289156,1047.5264
14.861423,5.6355292,2.689156,1047.0365
14.861423,2.6355292,1.289156,1045.2704
15.061423,2.4355292,1.289156,1043.6659
14.061423,8.6355292,1.289156,1043.2692
14.861423,5.8355292,1.289156,1042.1796
10.861423,3.4355292,1.289156,1040.5663
14.861423,2.0355292,1.289156,1040.2932
15.061423,3.2355292,1.289156,1038.6661
14.861423,6.4355292,2.689156,1038.1686
15.661423,5.0355292,1.289156,1036.558
15.461423,3.4355292,1.489156,1033.9906
15.061423,4.0355292,1.089156,1033.1343
15.461423,3.6355292,1.289156,1031.4117
14.861423,3.2355292,2.689156,1031.0892
16.461423,3.4355292,1.289156,1029.6815
14.661423,3.2355292,2.489156,1028.9668
15.661423,1.8355292,1.289156,1027.7114
15.461423,6.6355292,1.689156,1027.2539
14.861423,3.8355292,0.889156,1026.481
15.461423,1.8355292,2.489156,1023.9166
14.261423,2.4355292,1.289156,1023.73175
15.461423,3.8355292,1.289156,1023.18085
14.661423,2.4355292,2.689156,1023.00714
14.061423,4.2355292,1.289156,1022.354
14.661423,5.6355292,1.289156,1019.2487
14.061423,6.4355292,1.289156,1019.1088
14.061423,1.8355292,1.289156,1018.9698
15.061423,3.8355292,1.089156,1016.71906
15.461423,3.2355292,1.289156,1016.3173
15.061423,3.6355292,2.689156,1016.1104
14.661423,6.6355292,1.289156,1015.33856
14.661423,3.8355292,0.889156,1014.6917
15.461423,3.8355292,2.489156,1014.1739
14.061423,3.8355292,1.289156,1013.9642
14.661423,2.6355292,1.289156,1013.87286
14.061423,3.4355292,2.489156,1009.455
14.661423,6.4355292,1.289156,1008.44794
16.261423,3.2355292,1.289156,1007.7391
15.461423,3.4355292,0.089156,1007.46185
14.861423,3.6355292,1.289156,1006.4445
15.461423,2.4355292,2.489156,1005.9744
15.061423,5.6355292,2.689156,1005.7755
15.461423,3.8355292,0.889156,1005.25494
14.861423,3.8355292,-0.310844,1003.9947
14.261423,2.6355292,1.289156,1003.91364
14.861423,3.6355292,2.689156,1003.4797
15.061423,3.8355292,2.489156,1002.85693
14.861423,3.2355292,2.489156,999.35406
15.061423,5.6355292,1.289156,998.1805
13.261423,2.6355292,1.289156,997.956
14.661423,3.8355292,2.489156,996.32294
14.661423,2.0355292,1.289156,995.3418
14.661423,1.8355292,1.289156,994.7141
15.461423,3.6355292,1.689156,993.5291
14.861423,5.4355292,1.289156,991.84033
14.061423,3.4355292,2.689156,991.4329
16.261423,3.4355292,1.289156,991.3452
14.661423,3.6355292,1.289156,990.41846
14.661423,4.0355292,1.289156,990.18353
14.861423,5.4355292,2.689156,988.76154
9.261423,2.6355292,1.289156,988.2732
14.061423,3.4355292,1.489156,987.9318
14.661423,3.6355292,2.689156,987.76544
14.661423,2.0355292,2.489156,987.39185
16.261423,2.6355292,1.289156,987.21985
14.661423,3.8355292,1.289156,987.02563
15.461423,3.4355292,0.889156,986.7692
14.861423,4.2355292,1.289156,985.0087
16.261423,2.4355292,1.289156,982.8741
14.261423,8.2355292,2.489156,980.93933
14.861423,4.0355292,2.689156,979.8988
14.861423,6.2355292,2.489156,979.23517
14.861423,3.0355292,2.689156,978.80347
9.261423,3.4355292,1.289156,977.5827
15.461423,2.2355292,1.289156,977.1197
15.861423,3.4355292,1.289156,976.23413
14.661423,3.6355292,2.489156,975.8803
10.861423,5.0355292,1.289156,974.6594
14.061423,7.0355292,1.289156,974.28394
15.461423,2.4355292,1.289156,973.532
14.261423,5.6355292,1.289156,973.43536
15.461423,2.4355292,2.689156,973.41327
14.061423,8.0355292,-0.110844,970.7751
15.461423,6.6355292,2.689156,969.9969
14.861423,6.2355292,2.689156,969.28595
16.261423,3.2355292,2.689156,968.67786
15.461423,2.0355292,1.489156,966.6301
15.061423,1.8355292,1.289156,966.26825
15.661423,3.4355292,-0.310844,965.91437
14.661423,6.6355292,1.689156,965.8204
15.461423,4.0355292,2.689156,965.39386
15.061423,2.6355292,1.289156,964.7617
15.461423,5.6355292,1.289156,964.7232
14.861423,6.6355292,2.689156,963.93854
15.461423,3.0355292,2.489156,963.91095
14.861423,5.4355292,0.889156,962.9399
14.261423,1.8355292,1.289156,962.77936
14.061423,5.4355292,1.289156,962.407
14.661423,5.6355292,2.689156,961.3478
14.061423,3.2355292,1.489156,961.2072
10.861423,1.8355292,1.289156,960.3128
14.261423,4.0355292,1.289156,959.2076
14.061423,3.6355292,1.289156,958.148
14.861423,5.6355292,1.289156,956.63617
14.661423,5.4355292,2.489156,955.72644
16.461423,2.6355292,1.289156,954.3568
15.861423,2.6355292,1.289156,953.8339
15.461423,2.6355292,2.689156,953.55963
15.461423,2.6355292,2.489156,952.6008
13.461423,3.6355292,1.289156,951.7427
16.461423,5.0355292,1.289156,951.6347
14.661423,5.0355292,1.289156,950.4221
16.261423,5.6355292,1.289156,949.81793
15.461423,3.2355292,0.089156,949.76654
14.261423,8.0355292,1.489156,949.6862
14.861423,6.6355292,2.489156,949.60645
14.061423,2.6355292,-0.110844,949.12134
15.461423,6.4355292,1.289156,948.3007
14.661423,6.6355292,2.689156,948.18353
14.061423,3.4355292,-0.310844,948.1545
14.861423,2.2355292,2.689156,948.055
15.461423,2.2355292,2.489156,947.2695
15.861423,3.2355292,1.289156,947.0109
