x,y,z,d
-0.16,-0.4182219,0.91325443,1026.3843
0.29,-0.0182219,0.46325443,990.4932
0.14,-0.4182219,0.91325443,841.93945
-0.11,0.8317781,0.66325443,810.517
-0.01,0.6317781,0.66325443,767.33594
-0.16,0.6317781,0.66325443,766.1894
0.24,0.4317781,0.21325443,761.3982
0.04,0.4817781,0.66325443,755.3711
0.09,0.6317781,0.66325443,746.13
0.04,0.8817781,0.66325443,744.2883
-0.36,-0.6682219,0.81325443,743.06006
0.04,0.4317781,0.21325443,739.5303
0.04,0.8317781,0.66325443,724.10205
-0.36,-0.6182219,0.76325443,712.18164
-0.16,0.5817781,0.66325443,709.6459
-0.11,0.8817781,0.66325443,709.05176
0.09,0.3317781,0.26325443,702.9884
0.29,0.6317781,0.26325443,694.70087
0.19,-0.4182219,0.91325443,689.0885
-0.16,0.8317781,0.36325443,685.93384
-0.16,-0.3682219,0.86325443,684.92816
0.29,0.3817781,0.21325443,683.24335
0.09,-0.8182219,0.66325443,674.0318
-0.36,-0.5182219,0.76325443,673.8384
-0.16,0.6817781,0.66325443,672.2348
-0.16,0.4817781,0.61325443,666.6015
0.09,0.8317781,0.66325443,663.6134
-0.06,-0.4182219,0.91325443,662.2832
0.14,0.3817781,0.41325443,662.0324
0.29,0.6817781,0.21325443,660.04346
-0.16,0.3817781,0.41325443,655.8798
0.09,0.8817781,0.66325443,655.62286
0.09,0.4317781,0.66325443,654.553
0.14,0.3317781,0.21325443,653.30634
0.14,0.8317781,0.36325443,649.786
-0.31,0.4817781,0.21325443,647.5985
0.19,-0.8182219,0.66325443,645.8573
-0.11,-0.4182219,0.66325443,645.51776
0.29,0.4817781,0.26325443,642.49756
0.04,0.6317781,0.66325443,633.4825
0.29,0.2817781,0.21325443,630.91626
0.09,0.4817781,0.66325443,627.1054
-0.16,0.4817781,0.56325443,627.0663
-0.11,0.6817781,0.66325443,620.77136
0.04,-0.4182219,0.91325443,612.96497
-0.11,0.3817781,0.21325443,611.16364
-0.16,-0.2182219,0.71325443,610.7804
0.09,0.8817781,0.16325443,609.24835
0.19,0.3817781,0.21325443,607.4837
0.29,0.6817781,0.16325443,606.5314
-0.01,0.8817781,0.66325443,606.2284
-0.01,0.8317781,0.66325443,605.65063
0.09,0.6817781,0.66325443,603.7881
0.29,0.4817781,0.16325443,603.57294
-0.16,0.7317781,0.66325443,603.3748
-0.01,0.4317781,0.66325443,602.89264
-0.21,0.0317781,0.46325443,598.74255
0.29,0.6317781,0.16325443,593.2527
-0.11,0.6317781,0.66325443,592.7379
-0.16,0.4317781,0.51325443,588.52704
-0.36,-0.5682219,0.96325443,586.95984
-0.11,0.3317781,0.21325443,585.9729
-0.11,-0.0182219,0.46325443,584.3632
-0.16,0.3817781,0.31325443,583.7363
0.29,0.4817781,0.21325443,577.84485
-0.16,0.8317781,0.56325443,575.6918
-0.06,0.4817781,0.21325443,575.07715
0.14,0.3317781,0.26325443,572.98157
-0.36,-0.7682219,0.71325443,569.8247
-0.06,0.4317781,0.21325443,567.6647
-0.11,-0.3682219,0.26325443,566.0497
-0.16,0.8317781,0.21325443,560.30994
0.04,0.7817781,0.66325443,560.02606
-0.36,-0.8182219,0.66325443,558.0936
0.09,-0.0182219,0.46325443,558.0393
0.04,0.7317781,0.66325443,557.1467
-0.16,0.8317781,0.31325443,556.81445
0.09,0.2817781,0.26325443,555.4878
-0.06,0.8817781,0.66325443,551.89343
0.24,0.8817781,0.21325443,548.51587
0.04,0.6817781,0.66325443,546.4391
0.04,0.4317781,0.26325443,545.4045
0.29,0.6817781,0.26325443,544.3714
-0.31,0.5817781,0.26325443,542.7058
0.04,0.4817781,0.21325443,542.12396
-0.31,0.5317781,0.26325443,541.73096
0.24,-0.4182219,0.91325443,541.1502
0.29,-0.0682219,0.16325443,536.39374
0.04,0.5817781,0.21325443,535.61115
0.19,0.3817781,0.26325443,535.3039
-0.11,-0.3182219,0.26325443,532.6975
-0.11,0.4317781,0.26325443,531.9115
-0.11,-0.8182219,0.66325443,531.38965
-0.16,-0.8182219,0.66325443,531.0362
-0.11,0.4817781,0.66325443,527.82196
0.09,0.7817781,0.66325443,526.8928
-0.01,0.6817781,0.66325443,526.4813
0.04,0.5817781,0.66325443,526.4763
-0.21,0.2317781,0.26325443,526.4341
-0.36,-0.5182219,0.71325443,525.8037
0.14,0.5817781,0.66325443,523.07153
-0.01,0.4817781,0.66325443,521.487
0.29,0.5317781,0.26325443,520.77734
0.04,0.6317781,0.26325443,518.6071
-0.36,-0.6682219,0.86325443,517.04846
0.09,0.4317781,0.26325443,509.52548
0.14,-0.4182219,0.56325443,509.0493
0.14,0.8317781,0.31325443,507.79214
0.24,-0.0182219,0.26325443,507.40195
0.04,0.5317781,0.66325443,505.36325
0.29,0.5817781,0.26325443,505.0296
0.19,-0.4182219,0.56325443,502.71378
-0.06,0.4317781,0.26325443,501.73264
-0.11,0.7817781,0.66325443,501.4359
0.24,0.0317781,0.36325443,500.1926
-0.31,0.4817781,0.26325443,498.77463
-0.06,0.6317781,0.66325443,497.53372
0.14,0.6317781,0.66325443,497.0301
-0.11,-0.0182219,0.26325443,494.13495
0.09,0.3817781,0.26325443,492.1237
