x,y,z,d
-0.71,-0.7682219,0.61325443,0.003908753
-0.01,1.0317781,0.71325443,0.011406645
0.39,0.5317781,0.11325443,0.01344116
0.19,1.2317781,0.51325443,0.014076173
-0.41,-0.5682219,1.01325443,0.017239302
0.29,-0.3682219,0.21325443,0.021360204
0.39,0.6817781,0.21325443,0.033637792
-0.41,-0.8682219,0.71325443,0.0352398
0.54,-0.7182219,0.51325443,0.037075296
0.19,-0.9682219,0.31325443,0.039435178
0.04,0.7817781,0.26325443,0.044844285
0.04,0.4317781,0.51325443,0.051071897
0.39,-0.4682219,0.76325443,0.0540104
0.34,-0.8182219,0.86325443,0.05509524
0.24,-0.2682219,0.86325443,0.060355946
0.24,2.4317781,0.11325443,0.061335668
-1.46,-0.9182219,0.66325443,0.069928154
-0.31,-0.4682219,1.01325443,0.075597495
-0.06,0.9317781,0.41325443,0.077499
-0.01,0.9317781,0.31325443,0.091959506
0.09,-0.9682219,0.21325443,0.10520743
0.29,-0.2182219,0.16325443,0.15552604
-0.41,-0.4682219,0.76325443,0.16571361
-0.06,-0.4682219,1.01325443,0.17547388
0.24,-0.4682219,1.01325443,0.18683177
0.19,-0.4682219,1.01325443,0.2373251
0.29,-0.0182219,0.56325443,0.24984919
-0.06,0.8317781,0.51325443,0.25008273
0.09,-0.9682219,0.71325443,0.27022147
-0.06,-0.9682219,0.71325443,0.27166075
0.24,-0.9182219,0.31325443,0.29240537
0.39,0.6817781,0.26325443,0.30017817
-0.11,-0.4682219,1.01325443,0.30478108
0.19,-0.9182219,0.31325443,0.4202118
-0.16,2.4317781,0.41325443,0.45149916
-0.36,-0.9682219,0.71325443,0.52190477
0.39,-0.5682219,1.01325443,0.53771025
-0.21,-0.9682219,0.71325443,0.54642755
0.14,2.4317781,0.36325443,0.68192637
1.74,0.6817781,0.16325443,0.7077696
0.24,0.8317781,0.61325443,0.7240304
0.39,-0.8182219,0.71325443,0.81270725
-0.11,0.2317781,0.46325443,0.84962845
-0.16,2.4317781,0.61325443,0.92959344
0.24,0.8817781,0.41325443,1.0669512
-0.06,0.3817781,0.61325443,1.3676643
-0.06,-0.9682219,0.66325443,1.3760387
0.19,2.3817781,0.21325443,1.3962841
-0.06,-0.6682219,0.86325443,1.5113199
-0.01,-0.0682219,0.46325443,1.634159
-0.16,2.4317781,0.31325443,1.6780548
0.39,-0.9682219,0.66325443,1.6856799
-0.26,-0.3682219,0.61325443,1.7829262
-0.01,0.2317781,0.56325443,1.9350717
-0.26,0.8817781,0.26325443,2.3250406
-0.26,0.4817781,0.56325443,2.5344958
0.19,-0.6682219,0.86325443,2.6671498
0.04,0.8317781,0.71325443,2.7645605
-0.11,0.3817781,0.61325443,2.894091
-0.26,-0.2182219,0.71325443,3.1073503
-0.11,0.8817781,0.71325443,3.2359602
-0.21,-0.6682219,0.86325443,3.256323
0.09,0.3817781,0.61325443,3.4632976
0.04,-0.8182219,0.71325443,3.5513132
-0.01,0.4317781,0.71325443,3.8340461
-0.41,-0.7682219,0.66325443,3.862059
0.04,0.8817781,0.71325443,3.9250634
0.09,0.8817781,0.71325443,3.935689
0.24,-0.9682219,0.66325443,4.2207036
-0.16,0.5317781,0.71325443,4.3015633
0.14,0.5317781,0.71325443,4.3226666
0.14,2.4317781,0.41325443,4.636819
0.09,-0.8182219,0.71325443,4.8561997
-0.41,-0.6182219,0.81325443,4.859636
-0.26,0.4317781,0.51325443,5.001813
-0.11,-0.8182219,0.71325443,5.1295295
-0.41,-0.9182219,0.66325443,5.1645536
-0.41,-0.6682219,0.86325443,5.486293
-0.26,-0.0682219,0.26325443,5.7653737
-0.21,-0.9682219,0.66325443,5.8326917
-0.06,0.2817781,0.41325443,6.00259
-0.41,-0.6182219,0.66325443,6.0655584
0.09,-0.9682219,0.66325443,6.160459
0.24,0.8817781,0.26325443,6.2978907
-0.36,-0.9682219,0.66325443,6.602926
-0.21,-0.5682219,1.01325443,7.7846384
0.14,-0.3182219,0.86325443,7.790215
0.04,-0.5682219,1.01325443,7.824653
-0.16,-0.3182219,0.86325443,7.8965497
-0.41,-0.6182219,0.86325443,8.176643
-0.26,0.8317781,0.31325443,8.2324505
-0.26,0.6317781,0.46325443,8.582567
0.34,-0.8182219,0.71325443,8.77507
