x,y,z
-0.72,-1.3724217,1.6236719
-0.73142856,-1.3392088,1.6176984
-0.7425872,-1.3067801,1.611866
-0.74285716,-1.3059957,1.611725
-0.75374585,-1.2743516,1.6060337
-0.76490444,-1.2419233,1.6002014
-0.7657143,-1.2395697,1.599778
-0.776063,-1.2094948,1.594369
-0.7872216,-1.1770663,1.5885366
-0.7885715,-1.1731434,1.5878311
-0.79838026,-1.1446376,1.5827043
-0.80953884,-1.1122093,1.5768719
-0.8114286,-1.1067173,1.5758842
-0.82069737,-1.079781,1.5710397
-0.8318561,-1.0473523,1.5652072
-0.83428574,-1.0402913,1.5639373
-0.84301466,-1.0149238,1.5593748
-0.8541733,-0.98249507,1.5535425
-0.85714287,-0.9738653,1.5519904
-0.8653319,-0.9500668,1.5477102
-0.8764905,-0.9176383,1.5418777
-0.8800001,-0.90743876,1.5400434
-0.88764906,-0.8852098,1.5360454
-0.8988077,-0.8527813,1.5302131
-0.9028572,-0.84101295,1.5280964
-0.9099663,-0.82035303,1.5243807
-0.92112494,-0.7879243,1.5185484
-0.9257144,-0.7745867,1.5161495
-0.9322835,-0.7554958,1.512716
-0.9434421,-0.7230673,1.5068836
-0.94857144,-0.7081609,1.5042026
-0.9546007,-0.690639,1.5010513
-0.9657593,-0.6582105,1.495219
-0.9714287,-0.6417346,1.4922557
-0.976918,-0.6257818,1.4893866
-0.98807657,-0.5933533,1.4835541
-0.9942858,-0.5753083,1.4803088
-0.99923515,-0.560925,1.4777219
-1.0103937,-0.5284965,1.4718895
-1.0171429,-0.5088825,1.4683619
-1.0215523,-0.496068,1.4660572
-1.0327109,-0.4636395,1.4602249
-1.0400001,-0.44245625,1.4564149
-1.0438695,-0.43121123,1.4543924
-1.0550281,-0.39878273,1.4485601
-1.0628572,-0.37603045,1.444468
-1.0661868,-0.366354,1.4427277
-1.0773454,-0.3339255,1.4368954
-1.0857143,-0.30960393,1.4325211
-1.088504,-0.30149722,1.4310629
-1.0996625,-0.26906872,1.4252307
-1.1085714,-0.24317813,1.4205742
-1.1108211,-0.23664021,1.4193983
-1.1219797,-0.20421171,1.413566
-1.1314287,-0.17675185,1.4086273
-1.1331383,-0.17178321,1.4077337
-1.144297,-0.1393547,1.4019012
-1.1542858,-0.11032605,1.3966804
-1.1554556,-0.1069262,1.3960688
-1.1666142,-0.0744977,1.3902366
-1.177143,-0.043899775,1.3847334
-1.1777728,-0.042069197,1.3844042
-1.1889313,-0.009640932,1.3785717
-1.2,0.022526264,1.3727865
-1.2000899,0.022787571,1.3727396
-1.2112485,0.055216074,1.3669071
-1.2224072,0.087644815,1.3610747
-1.2228572,0.08895254,1.3608396
-1.2335658,0.12007308,1.3552424
-1.2447244,0.15250158,1.34941
-1.2457143,0.15537834,1.3488927
-1.255883,0.18493009,1.3435776
-1.2670417,0.21735883,1.3377453
-1.2685716,0.22180486,1.3369457
-1.2782003,0.24978709,1.331913
-1.2893589,0.2822156,1.3260806
-1.2914287,0.2882309,1.3249987
-1.3005173,0.31464386,1.3202484
-1.3116759,0.34707236,1.3144159
-1.3142858,0.3546567,1.3130519
-1.3228346,0.37950087,1.3085835
-1.3339933,0.4119296,1.3027512
-1.337143,0.42108297,1.3011049
-1.3451519,0.4443581,1.2969189
-1.3563105,0.4767866,1.2910864
-1.3600001,0.48750925,1.2891579
-1.3674692,0.50921535,1.285254
-1.3786277,0.5416436,1.2794218
-1.3828572,0.55393505,1.2772111
-1.3897862,0.5740719,1.2735894
-1.4009448,0.60650015,1.267757
-1.4057143,0.62036085,1.2652643
-1.4121034,0.6389289,1.2619247
-1.4232621,0.67135763,1.2560923
-1.4285716,0.6867871,1.2533172
-1.4344207,0.7037859,1.25026
