x,y,z
0.075600006,-1.4948219,1.4116235
0.0768,-1.4635518,1.4022841
0.07800001,-1.4322815,1.3929448
0.080400005,-1.3697412,1.3742663
0.08280001,-1.3072007,1.3555876
0.085200004,-1.2446604,1.336909
0.08760001,-1.1821201,1.3182304
0.09,-1.1195796,1.2995517
0.092400014,-1.057039,1.2808731
0.0948,-0.99449897,1.2621945
0.09720001,-0.93195844,1.2435158
0.09960001,-0.86941814,1.2248373
0.10200001,-0.8068776,1.2061586
0.10440002,-0.7443373,1.18748
0.106800005,-0.681797,1.1688014
0.109200016,-0.6192565,1.1501228
0.111600004,-0.5567162,1.1314442
0.114000015,-0.49417567,1.1127656
0.1164,-0.43163562,1.0940869
0.118800014,-0.3690951,1.0754082
0.1212,-0.3065548,1.0567298
0.12360001,-0.24401426,1.038051
0.126,-0.18147397,1.0193725
0.12840001,-0.11893344,1.0006938
0.13080001,-0.056393385,0.98201525
0.13320002,0.0061473846,0.96333647
0.13560002,0.06868768,0.9446579
0.13800001,0.13122773,0.9259794
0.14040002,0.19376826,0.9073007
0.14280002,0.25630903,0.88862205
0.14520001,0.3188491,0.8699435
0.14760001,0.38138938,0.85126495
0.14911537,0.42087722,0.8394712
0.1494694,0.43010306,0.8367158
0.14982346,0.4393289,0.8339603
0.15000002,0.4439299,0.8325863
0.15017751,0.448555,0.8312049
0.15053155,0.45778084,0.8284495
0.1508856,0.46700668,0.82569396
0.1524,0.50646996,0.8139076
0.15480001,0.56901073,0.79522896
0.15720001,0.6315508,0.7765504
0.15841846,0.66330194,0.76706755
0.1586012,0.66806364,0.7656454
0.15878393,0.67282534,0.7642232
0.15896666,0.67758703,0.76280105
0.1591494,0.6823487,0.7613789
0.15933211,0.6871104,0.7599567
0.15951484,0.6918721,0.75853455
0.1596,0.69409084,0.75787187
0.15969758,0.6966338,0.7571124
0.15988033,0.701396,0.7556901
0.16006306,0.7061577,0.75426793
0.16024579,0.7109194,0.75284576
0.16042852,0.7156811,0.7514236
0.16061126,0.7204428,0.75000155
0.16079399,0.72520447,0.7485794
0.16083269,0.726213,0.74827814
0.16086648,0.7270937,0.74801517
0.16090028,0.7279744,0.7477521
0.16093408,0.72885513,0.7474891
0.16096787,0.72973585,0.747226
0.16100167,0.7306161,0.746963
0.16103546,0.7314968,0.74670005
0.16106926,0.7323775,0.74643695
0.16110305,0.73325825,0.746174
0.16113687,0.73413944,0.74591076
0.16117066,0.73502016,0.7456478
0.16120446,0.7359009,0.7453847
0.16123825,0.7367816,0.7451217
0.16127205,0.7376623,0.74485874
0.16130584,0.73854303,0.74459565
0.16133964,0.7394233,0.7443327
0.16137344,0.740304,0.7440696
0.16140723,0.7411847,0.7438066
0.16144103,0.7420654,0.7435436
0.16147482,0.74294615,0.74328053
0.16150862,0.74382687,0.74301755
0.16154242,0.7447076,0.74275446
0.16157621,0.7455883,0.7424915
0.16161,0.746469,0.7422284
0.1616438,0.74734926,0.7419654
0.1616776,0.74823,0.74170244
0.1617114,0.7491107,0.74143934
0.16174519,0.7499914,0.74117637
0.16177899,0.75087214,0.7409133
0.16181278,0.75175285,0.7406503
0.16184658,0.7526336,0.7403873
0.16188037,0.7535143,0.7401242
0.16191417,0.754395,0.73986125
0.16194797,0.7552757,0.73959816
0.16198176,0.75615597,0.7393352
0.162,0.7566314,0.7391932
0.16201556,0.7570367,0.7390722
0.16204935,0.7579174,0.7388091
0.16208315,0.7587981,0.73854613
0.16211694,0.75967884,0.73828304
0.16215077,0.76056004,0.73801994
0.16218457,0.76144075,0.73775685
0.16221836,0.7623215,0.7374939
0.16225216,0.7632022,0.7372308
0.16228595,0.76408243,0.7369678
0.16231975,0.76496315,0.7367048
0.16235355,0.76584387,0.73644173
0.16238734,0.7667246,0.73617876
0.16242114,0.7676053,0.73591566
0.16245493,0.768486,0.7356527
0.16248873,0.76936674,0.7353897
0.16252252,0.77024746,0.7351266
0.16255632,0.7711282,0.73486364
0.16259012,0.7720089,0.73460054
0.16262391,0.77288914,0.73433757
0.16265771,0.77376986,0.7340746
0.1626915,0.7746506,0.7338115
0.1627253,0.7755313,0.7335485
0.1627591,0.776412,0.7332854
0.16279289,0.7772927,0.73302245
0.16282669,0.77817345,0.73275936
0.16286048,0.77905416,0.7324964
0.16289428,0.7799349,0.7322334
0.16292807,0.7808151,0.7319703
0.16296187,0.78169584,0.73170733
0.16299567,0.78257656,0.73144424
0.16302946,0.7834573,0.73118126
0.16306326,0.784338,0.7309183
0.16309705,0.7852187,0.7306552
0.16313085,0.78609943,0.7303922
0.16316466,0.7869806,0.730129
0.16319846,0.78786135,0.729866
0.1633702,0.79233694,0.7285292
0.16354863,0.7969861,0.72714067
0.16372706,0.80163574,0.725752
0.1639055,0.80628586,0.7243632
0.16408393,0.810935,0.72297466
0.16426234,0.81558466,0.721586
