x,y,z
-0.72,-1.3724217,1.6236719
-0.74285716,-1.3059957,1.611725
-0.7657143,-1.2395697,1.599778
-0.7885715,-1.1731434,1.5878311
-0.8114286,-1.1067173,1.5758842
-0.83428574,-1.0402913,1.5639373
-0.85714287,-0.9738653,1.5519904
-0.8800001,-0.90743876,1.5400434
-0.9028572,-0.84101295,1.5280964
-0.9257144,-0.7745867,1.5161495
-0.94857144,-0.7081609,1.5042026
-0.9714287,-0.6417346,1.4922557
-0.9942858,-0.5753083,1.4803088
-1.0171429,-0.5088825,1.4683619
-1.0400001,-0.44245625,1.4564149
-1.0628572,-0.37603045,1.444468
-1.0857143,-0.30960393,1.4325211
-1.1085714,-0.24317813,1.4205742
-1.1314287,-0.17675185,1.4086273
-1.1542858,-0.11032605,1.3966804
-1.177143,-0.043899775,1.3847334
-1.2,0.022526264,1.3727865
-1.2228572,0.08895254,1.3608396
-1.2457143,0.15537834,1.3488927
-1.2685716,0.22180486,1.3369457
-1.2914287,0.2882309,1.3249987
-1.3142858,0.3546567,1.3130519
-1.337143,0.42108297,1.3011049
-1.3600001,0.48750925,1.2891579
-1.3828572,0.55393505,1.2772111
-1.4057143,0.62036085,1.2652643
-1.4285716,0.6867871,1.2533172
-1.4514285,0.7532134,1.2413703
-1.4742858,0.8196397,1.2294233
-1.4971429,0.8860655,1.2174765
-1.52,0.9524913,1.2055297
-1.5428572,1.0189176,1.1935827
-1.5657144,1.0853438,1.1816356
-1.5885714,1.1517696,1.1696888
-1.6114285,1.2181954,1.1577419
-1.6342857,1.2846217,1.1457949
-1.657143,1.3510485,1.133848
-1.6800001,1.4174743,1.121901
-1.702857,1.4839001,1.1099542
-1.7257143,1.5503263,1.0980072
-1.7485715,1.6167526,1.0860603
-1.7714285,1.683178,1.0741135
-1.7942858,1.7496047,1.0621665
-1.8171431,1.816031,1.0502195
-1.8400003,1.8824573,1.0382725
-1.8628571,1.948883,1.0263257
-1.8857144,2.0153093,1.0143788
-1.9085716,2.0817356,1.0024319
-1.9314284,2.148161,0.99048495
-1.9542857,2.2145872,0.97853804
-1.9771429,2.2810135,0.966591
-2.0000002,2.3474398,0.9546441
-2.0228574,2.413866,0.94269717
-2.0457144,2.4802914,0.93075037
-2.0685716,2.5467181,0.91880333
-2.0914288,2.6131444,0.9068564
-2.1142857,2.6795697,0.8949096
-2.137143,2.745996,0.8829626
-2.16,2.8124223,0.87101567
